url,label
https://bsky.app/profile/shellyamber.bsky.social/post/3lr3bebklac2n,Targeted
https://bsky.app/profile/gadi2346.bsky.social/post/3m4gqdy6kpc2v,Targeted
https://bsky.app/profile/lynskoang.bsky.social/post/3m4fwphv5fc24,Profanity
https://bsky.app/profile/lexbang.bsky.social/post/3lfxayzb4uc2c,Profanity
https://bsky.app/profile/gvent.bsky.social/post/3m4gnyrm3qk2f,Targeted
https://bsky.app/profile/lexbang.bsky.social/post/3lkr25y6w322h,Profanity
https://bsky.app/profile/sloanelysbeth.bsky.social/post/3m3zjkqofoc2o,Targeted
https://bsky.app/profile/hotdiggitydr.bsky.social/post/3m2spvc3pqk2m,Targeted
https://bsky.app/profile/theskagooner.bsky.social/post/3m3wzhboqbk2g,Targeted
https://bsky.app/profile/tiana-atr.bsky.social/post/3m4cailt4vc23,Neutral
https://bsky.app/profile/marvls1.bsky.social/post/3m3n4jtz6ac2g,Targeted
https://bsky.app/profile/ayitsgreyj.bsky.social/post/3m47vbmandk2z,Profanity
https://bsky.app/profile/m0urn-the-weenie.bsky.social/post/3m4fwed3yr224,Targeted
https://bsky.app/profile/cattlecrafts.bsky.social/post/3m4g6pd5ka22j,Profanity
https://bsky.app/profile/eindrifteraston.bsky.social/post/3m4du73ckuk2q,Targeted
https://bsky.app/profile/xenofawn.bsky.social/post/3m4c4b3czs22e,Targeted
https://bsky.app/profile/shy-magpie.bsky.social/post/3ltpsoo2ex22y,Profanity
https://bsky.app/profile/3ofspades.bsky.social/post/3m4f5reqv4s2e,Profanity
https://bsky.app/profile/molson.bsky.social/post/3m3qcbfj42c2f,Profanity
https://bsky.app/profile/qmickhusky.bsky.social/post/3m4gdab3wxs25,Neutral
https://bsky.app/profile/josephfarina.bsky.social/post/3lwbztesnxc2x,Targeted
https://bsky.app/profile/hentaihubx.bsky.social/post/3m4gm4bziww22,Profanity
https://bsky.app/profile/wisdomwangle.bsky.social/post/3lyfv3orths2f,Profanity
https://bsky.app/profile/ayeeredboi.bsky.social/post/3m4fy7bx3mk2j,Targeted
https://bsky.app/profile/herrcausb.bsky.social/post/3m4fov3x4rs23,Neutral
https://bsky.app/profile/thevinyllitigator.bsky.social/post/3m4gq2spwpc2h,Targeted
https://bsky.app/profile/apopularmonster.bsky.social/post/3m4fuxbqses2w,Neutral
https://bsky.app/profile/harajukustudio.bsky.social/post/3m4efrtmdqs2y,Profanity
https://bsky.app/profile/tenshikits.bsky.social/post/3m4gptpctjc2a,Neutral
https://bsky.app/profile/pitdiver.bsky.social/post/3m43yilupi22k,Profanity
https://bsky.app/profile/buddysystem8.bsky.social/post/3m4gqag4c4c2i,Profanity
https://bsky.app/profile/josephfarina.bsky.social/post/3m47mwq2wr22k,Targeted
https://bsky.app/profile/ripo1962.bsky.social/post/3m3zwqyzn522b,Profanity
https://bsky.app/profile/davidrlurie.bsky.social/post/3m4gortucic2c,Neutral
https://bsky.app/profile/marderzucht.bsky.social/post/3m4gofgdbak2r,Neutral
https://bsky.app/profile/ellecfromtwitter.bsky.social/post/3m3zohj5vkk2i,Profanity
https://bsky.app/profile/stevebasnett.bsky.social/post/3m4dlrrip4s2o,Profanity
https://bsky.app/profile/darkvander.bsky.social/post/3m4gl6nsiys24,Profanity
https://bsky.app/profile/okapirouette.bsky.social/post/3m4gqmaeg5c23,Neutral
https://bsky.app/profile/flakyfoont.bsky.social/post/3m4gm7vqpjc2o,Targeted
https://bsky.app/profile/deereedbrklyn.bsky.social/post/3m3dbrtcyes2m,Profanity
https://bsky.app/profile/far-far-away.bsky.social/post/3m47g52rews2j,Targeted
https://bsky.app/profile/paulsdmcr.bsky.social/post/3m4gqfm7trc2c,Targeted
https://bsky.app/profile/gameism.bsky.social/post/3m4gnxl4kks22,Targeted
https://bsky.app/profile/sloanelysbeth.bsky.social/post/3m4gpivhk722q,Profanity
https://bsky.app/profile/cherie-beachgirl.bsky.social/post/3m3eflsg5hc2l,Targeted
https://bsky.app/profile/lotsiah.bsky.social/post/3m3ujgelq7c2m,Neutral
https://bsky.app/profile/negativetendencies.bsky.social/post/3ly4qfhato22u,Targeted
https://bsky.app/profile/ookingforward0.bsky.social/post/3m4fjjrnqmk25,Profanity
https://bsky.app/profile/stormseazon.bsky.social/post/3lmh6ywdmrk27,Targeted
https://bsky.app/profile/harajukustudio.bsky.social/post/3m4g2k5kn3k2h,Profanity
https://bsky.app/profile/jotata75.bsky.social/post/3m3rye7qwp22w,Targeted
https://bsky.app/profile/latinabondageuk.bsky.social/post/3m33xvudaos2k,Profanity
https://bsky.app/profile/lahorn28.bsky.social/post/3m4gkjafz5s2q,Neutral
https://bsky.app/profile/gunlaigse.bsky.social/post/3m3ybkp2aos2v,Targeted
https://bsky.app/profile/blackazzknight.bsky.social/post/3m4ftcqqrnk2x,Targeted
https://bsky.app/profile/telston.bsky.social/post/3m4gfi7ezzs24,Targeted
https://bsky.app/profile/polarisoph.bsky.social/post/3m4fjbm33c22n,Profanity
https://bsky.app/profile/craigary.bsky.social/post/3m4ewkjg2ec2i,Profanity
https://bsky.app/profile/angelesbandit.bsky.social/post/3m37o35nk7c2x,Targeted
https://bsky.app/profile/koinunokokishin.bsky.social/post/3m4gcivo3us22,Profanity
https://bsky.app/profile/charltonlack.bsky.social/post/3m4g6mbev222s,Targeted
https://bsky.app/profile/chloevz.bsky.social/post/3m4feflwi7k2r,Targeted
https://bsky.app/profile/annmarr.bsky.social/post/3m33n7wguis2r,Targeted
https://bsky.app/profile/bellboy905.bsky.social/post/3m423gg3ksc2s,Profanity
https://bsky.app/profile/cinnabunniie.bsky.social/post/3m3dner73b22d,Profanity
https://bsky.app/profile/calko.bsky.social/post/3m2n7bepjzs2k,Profanity
https://bsky.app/profile/dlbidad.bsky.social/post/3m4gp4g4w6k2y,Profanity
https://bsky.app/profile/wife-devotion.bsky.social/post/3m4glpte2ck2w,Profanity
https://bsky.app/profile/hyarner.bsky.social/post/3m4ecmyinds2y,Targeted
https://bsky.app/profile/theepinklady.bsky.social/post/3lqzml3id322p,Targeted
https://bsky.app/profile/langdongrant.bsky.social/post/3m4gaey3tkc2m,Neutral
https://bsky.app/profile/mjshanklin.bsky.social/post/3m3xehohgdk24,Profanity
https://bsky.app/profile/minty-hippo.bsky.social/post/3m4gpsiopu227,Neutral
https://bsky.app/profile/bitofbluesky.bsky.social/post/3lg4crgmxb226,Profanity
https://bsky.app/profile/juss1.bsky.social/post/3m2veg3kjtk2q,Neutral
https://bsky.app/profile/jakeekiss.bsky.social/post/3m4gq5qa3q22n,Profanity
https://bsky.app/profile/too-young.bsky.social/post/3m4gpt6qooc2e,Profanity
https://bsky.app/profile/alsvid.bsky.social/post/3lmmrtuhphc2c,Profanity
https://bsky.app/profile/jimroch.bsky.social/post/3m4gd6xrvck2p,Targeted
https://bsky.app/profile/tyzefs.bzh/post/3m4dyaz5gsc2q,Neutral
https://bsky.app/profile/melos.bsky.social/post/3m4fggoljss2l,Targeted
https://bsky.app/profile/cdnhelp.bsky.social/post/3m4gpyn76d22o,Profanity
https://bsky.app/profile/christianaaaaa.bsky.social/post/3lu5vppxyl22h,Profanity
https://bsky.app/profile/nolonine.bsky.social/post/3m4byqjrqas2j,Profanity
https://bsky.app/profile/caffeineandhate.bsky.social/post/3m4gohdbcmc2k,Targeted
